kind,wall_time,elapsed_s,arrival_gap_ms,source_gap_ms,px4_timestamp_us,agent_pid,agent_restarts,agent_active,load1,wlan_rx_packets,wlan_rx_dropped,wlan_tx_packets,wlan_tx_dropped,softnet_dropped_total,status,failsafe
sensor_combined,2026-08-07T14:58:19.786+08:00,2.339,31.32325599995056,54.011,1038868878,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:19.819+08:00,2.370,31.545587999971758,18.002,1038886880,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:19.851+08:00,2.402,32.29662700005065,9.002,1038895882,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:19.883+08:00,2.435,32.275952999953006,63.011,1038958893,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:19.913+08:00,2.467,32.24113200008105,27.005,1038985898,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:19.945+08:00,2.497,30.280370999889783,9.002,1038994900,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:19.976+08:00,2.529,31.615836999890234,22.504,1039017404,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:20.007+08:00,2.560,31.19085400021504,9.001,1039026405,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:20.038+08:00,2.591,30.87891099994522,22.505,1039048910,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:20.070+08:00,2.622,31.382783000026393,9.049,1039057959,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:20.102+08:00,2.655,32.40246499990462,17.955,1039075914,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:20.135+08:00,2.686,31.699112000069363,9.002,1039084916,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:20.167+08:00,2.719,32.11202800002866,31.505,1039116421,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:20.198+08:00,2.750,31.78795399981027,9.05,1039125471,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:20.882+08:00,3.434,683.4178400001747,1012.681,1040138152,1667,0,active,1.35,,,,,0,,
failsafe_flags,2026-08-07T14:58:20.916+08:00,3.467,,,1039908213,1667,0,active,1.35,,,,,0,,"{'gcs_connection_lost': True, 'manual_control_signal_lost': True, 'offboard_control_signal_lost': True}"
vehicle_status,2026-08-07T14:58:20.953+08:00,3.503,,,1039919103,1667,0,active,1.35,,,,,0,"{'arming_state': 1, 'nav_state': 4, 'failsafe': True}",
sensor_combined,2026-08-07T14:58:20.987+08:00,3.538,104.14751099983732,40.459,1040178611,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.019+08:00,3.571,33.32885600002555,4.549,1040183160,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.051+08:00,3.603,31.94403800011969,8.954,1040192114,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.083+08:00,3.635,31.774736999977904,9.002,1040201116,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.114+08:00,3.666,31.366141000034986,9.001,1040210117,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.145+08:00,3.698,31.566614999974263,18.051,1040228168,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.176+08:00,3.730,31.636478999871542,13.457,1040241625,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.207+08:00,3.760,30.947784000090905,31.551,1040273176,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.239+08:00,3.791,30.129471999998714,8.954,1040282130,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.269+08:00,3.822,31.702695999911157,67.512,1040349642,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.307+08:00,3.853,30.83391300015137,13.55,1040363192,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.341+08:00,3.892,38.60965599983501,76.466,1040439658,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.375+08:00,3.926,34.702726000205075,22.504,1040462162,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.406+08:00,3.959,32.3156059998837,9.002,1040471164,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.436+08:00,3.990,30.925412999977198,40.507,1040511671,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.467+08:00,4.020,30.24110199999086,18.003,1040529674,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.500+08:00,4.051,31.57077500009109,13.55,1040543224,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.531+08:00,4.083,31.661666999980298,58.463,1040601687,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.562+08:00,4.115,31.53182599999127,9.049,1040610736,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.595+08:00,4.146,31.034802000021955,17.956,1040628692,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.628+08:00,4.180,34.21527299997251,94.564,1040723256,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.659+08:00,4.212,31.748620999906052,8.955,1040732211,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.690+08:00,4.243,31.704713000181073,67.511,1040799722,1667,0,active,1.35,,,,,0,,
sensor_combined,2026-08-07T14:58:21.722+08:00,4.274,30.962760999955208,13.55,1040813272,1667,0,active,1.35,,,,,0,,
