monotonic_ns,elapsed_ms,state,event,detail
106681108661521,2.785,PRECHECK,START,artifact=V4 mode=preflight-only test_id=P450_20260825_DESKTOP_SITL_SIM_P
106681112847284,6.971,PRECHECK,HEADING_GOOD_DIAGNOSTIC,value=0
106681315559564,209.683,PRECHECK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
106681318633472,212.757,PRECHECK,ARMING_STATE,1
106681318710593,212.834,PRECHECK,NAV_STATE,4
106681318737317,212.861,PRECHECK,GCS_CONNECTION_DIAGNOSTIC,raw_status_lost=1
106681574479573,468.603,PRECHECK,PREFLIGHT_REFUSED,failsafe flag manual_control_signal_lost=true
106681574605944,468.730,PRECHECK,PREFLIGHT_REFUSED,failsafe flag gcs_connection_lost=true
