monotonic_ns,elapsed_ms,phase,event,detail
3873958837659,16.602,PRECHECK,START,test_id=P450_20260820_POST_OFFBOARD_RESTORE_PREFLIGHT_B duration=900.0 rate=10.0
3874385485257,443.249,PRECHECK,PREFLIGHT_PASS,"start=(-0.0006654405733570457, -0.00040016110870055854, 0.5014190077781677, 2.502225875854492) heading_good=0 xy_valid=0 z_valid=1"
3874385807195,443.571,COMPLETE,PREFLIGHT_ONLY_PASS,publishes=0 commands=0
3874385923065,443.687,COMPLETE,SUMMARY,publishes=0 max_gap_ms=0.000 over_150ms=0 over_250ms=0 over_500ms=0 over_1000ms=0
