sequence,monotonic_ns,elapsed_ms,publish_gap_ms,state,offboard_subscriptions,setpoint_subscriptions,command_subscriptions,arming_state,nav_state,offboard_enabled,failsafe,raw_gcs_lost,active_gcs_lost,heading_good,xy_reset_counter,z_reset_counter,heading_reset_counter,x,y,z,vx,vy,vz
1,107525309414276,532.715,,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6852,14.9225,0.0605,-0.0100,-0.0069,-0.0242
2,107525409969212,633.270,100.555,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6808,14.9214,0.0576,-0.0116,-0.0074,-0.0244
3,107525509810186,733.111,99.841,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6765,14.9195,0.0541,-0.0135,-0.0085,-0.0251
4,107525611777524,835.079,101.967,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6730,14.9164,0.0490,-0.0153,-0.0103,-0.0267
5,107525710766828,934.068,98.989,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6749,14.9153,0.0350,-0.0157,-0.0110,-0.0313
6,107525812833845,1036.135,102.067,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6754,14.9130,0.0213,-0.0165,-0.0124,-0.0351
7,107525909697206,1132.998,96.863,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6754,14.9139,0.0094,-0.0173,-0.0124,-0.0386
8,107526014470571,1237.772,104.773,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6764,14.9150,-0.0023,-0.0171,-0.0127,-0.0420
9,107526111207718,1334.509,96.737,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6797,14.9128,-0.0127,-0.0153,-0.0144,-0.0443
10,107526210773256,1434.074,99.566,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6839,14.9105,-0.0227,-0.0129,-0.0153,-0.0467
11,107526313283456,1536.584,102.510,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6881,14.9089,-0.0269,-0.0105,-0.0160,-0.0468
12,107526412677678,1635.979,99.394,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6888,14.9048,-0.0265,-0.0091,-0.0176,-0.0457
13,107526514886201,1738.187,102.209,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6845,14.9008,-0.0245,-0.0095,-0.0188,-0.0443
14,107526611529276,1834.830,96.643,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6767,14.8991,-0.0242,-0.0115,-0.0188,-0.0435
15,107526711566166,1934.867,100.037,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6661,14.8956,-0.0306,-0.0137,-0.0196,-0.0448
16,107526813301061,2036.602,101.735,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6541,14.8989,-0.0298,-0.0167,-0.0180,-0.0431
17,107526910971964,2134.273,97.671,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6414,14.9030,-0.0262,-0.0198,-0.0159,-0.0401
18,107527010211334,2233.512,99.239,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6274,14.9060,-0.0205,-0.0232,-0.0140,-0.0364
19,107527111998917,2335.300,101.788,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.6138,14.9066,-0.0126,-0.0266,-0.0133,-0.0323
20,107527211697949,2434.999,99.699,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.5988,14.9086,0.0041,-0.0300,-0.0127,-0.0269
21,107527314999589,2538.301,103.302,REQUEST_OFFBOARD,1,1,1,1,4,0,0,0,0,0,2,6,1,0.5906,14.9130,0.0223,-0.0312,-0.0108,-0.0207
22,107527411922248,2635.223,96.923,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.5871,14.9188,0.0327,-0.0307,-0.0081,-0.0166
23,107527510521487,2733.823,98.599,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.5855,14.9265,0.0336,-0.0293,-0.0044,-0.0153
24,107527612120513,2835.422,101.599,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.5798,14.9344,0.0316,-0.0300,-0.0008,-0.0151
25,107527711424355,2934.725,99.304,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.5756,14.9438,0.0332,-0.0308,0.0044,-0.0142
26,107527813360422,3036.661,101.936,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.5736,14.9512,0.0350,-0.0310,0.0078,-0.0133
27,107527910056764,3133.358,96.696,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.5758,14.9563,0.0378,-0.0301,0.0099,-0.0126
28,107528010074595,3233.376,100.018,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.5824,14.9596,0.0418,-0.0278,0.0109,-0.0116
29,107528112658705,3335.960,102.584,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.5893,14.9626,0.0466,-0.0249,0.0118,-0.0097
30,107528209652222,3432.953,96.994,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.5900,14.9632,0.0508,-0.0240,0.0114,-0.0088
31,107528314731385,3538.032,105.079,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.5902,14.9613,0.0567,-0.0236,0.0097,-0.0078
32,107528412294795,3635.596,97.563,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.5883,14.9584,0.0617,-0.0240,0.0075,-0.0072
33,107528511014406,3734.315,98.720,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.5829,14.9560,0.0643,-0.0252,0.0057,-0.0073
34,107528613475494,3836.777,102.461,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.5769,14.9577,0.0614,-0.0260,0.0063,-0.0091
35,107528710362732,3933.664,96.887,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.5757,14.9576,0.0616,-0.0250,0.0061,-0.0092
36,107528814106635,4037.408,103.744,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.5772,14.9540,0.0667,-0.0230,0.0045,-0.0078
37,107528911639169,4134.940,97.533,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.5781,14.9502,0.0777,-0.0212,0.0027,-0.0051
38,107529011126952,4234.428,99.488,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.5765,14.9487,0.0937,-0.0203,0.0016,-0.0016
39,107529113376765,4336.678,102.250,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.5765,14.9451,0.0975,-0.0195,-0.0002,-0.0017
40,107529210694257,4433.995,97.317,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.5783,14.9445,0.0969,-0.0183,-0.0011,-0.0032
41,107529310593772,4533.895,99.900,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.5861,14.9461,0.1011,-0.0150,-0.0009,-0.0025
42,107529412589371,4635.890,101.996,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.5957,14.9494,0.1081,-0.0113,0.0002,-0.0005
43,107529511444585,4734.746,98.855,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.6039,14.9552,0.1159,-0.0084,0.0022,0.0016
44,107529613136195,4836.437,101.692,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.6127,14.9573,0.1293,-0.0048,0.0030,0.0057
45,107529711988067,4935.289,98.852,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.6158,14.9606,0.1340,-0.0031,0.0040,0.0066
46,107529814742319,5038.043,102.754,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.6176,14.9630,0.1369,-0.0020,0.0045,0.0071
47,107529911433009,5134.734,96.691,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.6205,14.9648,0.1383,-0.0007,0.0047,0.0070
48,107530011452724,5234.754,100.020,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.6256,14.9669,0.1345,0.0018,0.0048,0.0051
49,107530113596447,5336.897,102.144,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.6255,14.9679,0.1321,0.0028,0.0043,0.0049
50,107530210851044,5434.152,97.255,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,0.6279,14.9693,0.1321,0.0047,0.0049,0.0049
