sequence,monotonic_ns,elapsed_ms,publish_gap_ms,state,offboard_subscriptions,setpoint_subscriptions,command_subscriptions,arming_state,nav_state,offboard_enabled,failsafe,raw_gcs_lost,active_gcs_lost,heading_good,xy_reset_counter,z_reset_counter,heading_reset_counter,x,y,z,vx,vy,vz
1,107018292118406,546.441,,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0458,-0.2761,0.1057,-0.0068,0.0007,-0.0179
2,107018394581749,648.904,102.463,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0441,-0.2770,0.1037,-0.0063,0.0007,-0.0186
3,107018493308798,747.631,98.727,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0358,-0.2839,0.0955,-0.0040,-0.0020,-0.0220
4,107018595405795,849.728,102.097,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0241,-0.2896,0.0853,-0.0004,-0.0041,-0.0263
5,107018692942797,947.265,97.537,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0096,-0.2928,0.0784,0.0041,-0.0048,-0.0292
6,107018796717423,1051.040,103.775,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.0048,-0.2930,0.0743,0.0085,-0.0041,-0.0311
7,107018893731975,1148.054,97.015,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.0138,-0.2900,0.0720,0.0109,-0.0025,-0.0323
8,107018994327628,1248.650,100.596,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.0195,-0.2850,0.0698,0.0118,0.0003,-0.0339
9,107019095798567,1350.121,101.471,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.0230,-0.2804,0.0621,0.0121,0.0025,-0.0364
10,107019193503585,1447.826,97.705,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.0258,-0.2786,0.0545,0.0125,0.0029,-0.0386
11,107019297164794,1551.487,103.661,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.0259,-0.2785,0.0471,0.0121,0.0021,-0.0409
12,107019393936343,1648.258,96.772,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.0213,-0.2771,0.0408,0.0104,0.0023,-0.0428
13,107019492574274,1746.896,98.638,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,0.0075,-0.2768,0.0411,0.0050,0.0016,-0.0430
14,107019595372066,1849.694,102.798,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0032,-0.2754,0.0448,0.0004,0.0019,-0.0418
15,107019693357974,1947.680,97.986,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0159,-0.2743,0.0481,-0.0048,0.0023,-0.0406
16,107019797074609,2051.397,103.717,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0306,-0.2736,0.0531,-0.0106,0.0027,-0.0389
17,107019894749626,2149.072,97.675,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0413,-0.2724,0.0642,-0.0149,0.0032,-0.0354
18,107019993727663,2248.050,98.978,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0481,-0.2752,0.0803,-0.0172,0.0026,-0.0301
19,107020095843468,2350.166,102.116,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0531,-0.2740,0.0911,-0.0190,0.0036,-0.0268
20,107020192403067,2446.725,96.560,STREAM_PREROLL,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0565,-0.2698,0.1032,-0.0201,0.0059,-0.0235
21,107020297176485,2551.499,104.773,REQUEST_OFFBOARD,1,1,1,1,4,0,0,0,0,0,2,6,1,-0.0577,-0.2623,0.1163,-0.0200,0.0097,-0.0199
22,107020393730192,2648.052,96.554,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,-0.0561,-0.2548,0.1208,-0.0185,0.0129,-0.0185
23,107020492763169,2747.085,99.033,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,-0.0559,-0.2486,0.1220,-0.0181,0.0163,-0.0177
24,107020594856181,2849.178,102.093,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,-0.0502,-0.2442,0.1199,-0.0160,0.0177,-0.0178
25,107020694105184,2948.427,99.249,TAKEOFF,1,1,1,2,14,1,0,0,0,0,2,6,1,-0.0418,-0.2389,0.1182,-0.0127,0.0187,-0.0184
