path,lfs_sha256,declared_size_bytes,filename_year
docs/raw/captures/ULG/log_3_2024-8-8-14-43-22.ulg,7ccb2934684e21b020c190d87755c9a78e82867e68949ec36cdbad50bc3b27d2,227809,2024
docs/raw/captures/ULG/log_40_2024-8-26-14-21-58.ulg,afc0fccf926c4942ed73be2f486d295642801c487dfdc91a9157633d9949d7e8,4806833,2024
docs/raw/captures/ULG/log_41_2024-8-26-14-33-30.ulg,bffde6296ce237a22c4ab7d391406e6088ea48ec79ea34eaa05de8264609ea79,7419058,2024
docs/raw/captures/ULG/log_42_2024-8-26-14-38-24.ulg,66ddca0346567f38d0e138004a306f05bff41306c5772d01ef071a1ebc44214c,4027125,2024
docs/raw/captures/ULG/log_43_2024-8-26-14-48-44.ulg,20c4712c2f29704c8c9e59ddae6d3532969647829a211a88263391f59d5fe554,4970162,2024
docs/raw/captures/ULG/log_44_2024-8-27-16-39-26.ulg,534462c62cbb4bccf6281c27e585a1f58d411c4d845610181a7c85afbd58920a,1685621,2024
docs/raw/captures/ULG/log_45_2024-8-27-16-42-20.ulg,233aefe3061b7c7658e9b18a2b06e612fc99e28112a300b124636a6b892a6a80,2359463,2024
docs/raw/captures/ULG/log_46_2024-8-28-14-24-02.ulg,ab9f096d0716a47cd138ee6eaf024461e233997f1125eb930b67f0129d35130e,2151997,2024
docs/raw/captures/ULG/log_47_2026-7-2-19-32-14.ulg,6f30c9cd7fa1439bbdd16afd90589bf20729ee614ffe932171d8b5f7ba81ece9,182912,2026
docs/raw/captures/ULG/log_48_2026-7-2-19-32-34.ulg,6dba6d5b13e6e81dd96113ada8c57048a8d5ffe4f417473b1d4cf2e79581c326,334511,2026
docs/raw/captures/ULG/log_49_2026-7-2-19-35-02.ulg,90f21d024b7aaddb238997674357167bc89430995ed30d94640029529b294f28,516329,2026
docs/raw/captures/ULG/log_4_2024-8-8-14-43-50.ulg,5f16acf0654084149c6d85e9a800867da63ed52f80c7b58d3965ac8faea78f00,337032,2024
docs/raw/captures/ULG/log_50_2026-7-2-19-35-16.ulg,af8fab38dc618a0ac9ce8a1f3587654845117a862cbc7e70d7951cc379f1d33a,174647,2026
docs/raw/captures/ULG/log_51_UnknownDate.ulg,609a092f7bf7c69e4d0c0eb1367d1cf91170014f06971bf3436276df7a41c6d7,639943,unknown
docs/raw/captures/ULG/log_52_2026-7-6-16-17-34.ulg,8859c09bd801bce31466647296a5b95d7ce2ad4af3f12f4f9ab2470f4b5c9c8a,540109,2026
docs/raw/captures/ULG/log_53_2026-7-6-16-17-38.ulg,2167b94e1c64fa5fff0b66065f76b8c26e3de6df30e174a558885ceeba7e77eb,241640,2026
docs/raw/captures/ULG/log_54_2026-7-6-16-18-06.ulg,04cdbf4c87195c89ce17a7159d5751a2f477a871b86e1e86c7ee76944ee6ec7c,275937,2026
