monotonic_ns,elapsed_ms,state,event,detail
992901723328,21.074,PRECHECK,START,artifact=V4 mode=flight test_id=P450_20260826_OUTDOOR_V5_FLIGHT_1M_5M_D
992915778176,35.129,PRECHECK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
992920602208,39.953,PRECHECK,ARMING_STATE,1
992920802752,40.153,PRECHECK,NAV_STATE,15
992920903744,40.254,PRECHECK,GCS_CONNECTION_DIAGNOSTIC,raw_status_lost=0
992964815872,84.167,PRECHECK,HEADING_GOOD_DIAGNOSTIC,value=0
993040234592,159.585,PRECHECK,ROUTE,"start=(-2.2253568172454834, 4.605536460876465, 3.797239065170288, 0.7482301592826843) takeoff=(-2.2253568172454834, 4.605536460876465, 2.797239065170288) goal=(1.4391137543972823, 8.007250062807724, 2.797239065170288) reset_counters={'xy': 7, 'z': 7, 'vxy': 7, 'vz': 3, 'heading': 3}"
993040451232,159.802,PRECHECK,PREFLIGHT_HEADING_PENDING,PX4 final heading alignment is expected after liftoff when using magnetometer fusion
993040634528,159.985,PRECHECK,PREFLIGHT_PASS,offboard_subscriptions=1 setpoint_subscriptions=1 command_subscriptions=1
993040769920,160.121,STREAM_PREROLL,TRANSITION,
995042059968,2161.411,REQUEST_OFFBOARD,TRANSITION,
995049579648,2168.930,REQUEST_OFFBOARD,COMMAND_BEGIN,command=176
995053425056,2172.776,REQUEST_OFFBOARD,COMMAND_SEND,command=176 attempt=1
995561399040,2680.750,REQUEST_OFFBOARD,COMMAND_SEND,command=176 attempt=2
995626483040,2745.834,REQUEST_OFFBOARD,NAV_STATE,14
995627337824,2746.688,REQUEST_OFFBOARD,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=1
995627788352,2747.139,REQUEST_ARM,TRANSITION,
995634354944,2753.706,REQUEST_ARM,COMMAND_BEGIN,command=400
995649238816,2768.589,REQUEST_ARM,COMMAND_SEND,command=400 attempt=1
995834197120,2953.548,REQUEST_ARM,ARMING_STATE,2
995835968448,2955.319,TAKEOFF,TRANSITION,
997063503616,4182.854,TAKEOFF,EKF_Z_RESET,counter=8 dz=-0.557292 magnitude=0.557292
997064079712,4183.430,TAKEOFF,ABORT,material EKF Z reset 0.557 m exceeded 0.20 m
997064221120,4183.572,REQUEST_LAND_ABORT,TRANSITION,material EKF Z reset 0.557 m exceeded 0.20 m
997064421280,4183.772,REQUEST_LAND_ABORT,COMMAND_BEGIN,command=21
997065027168,4184.378,REQUEST_LAND_ABORT,COMMAND_SEND,command=21 attempt=1
997129868416,4249.219,REQUEST_LAND_ABORT,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
997136752352,4256.103,REQUEST_LAND_ABORT,NAV_STATE,18
997137420864,4256.772,REQUEST_LAND_ABORT,LAND_MODE_CONFIRMED,nav_state=18 ack=None
997137593312,4256.944,REQUEST_LAND_ABORT,LAND_FEEDBACK_FALLBACK,VehicleLandDetected is not bridged; require AUTO_DISARM_LAND reason
997137700448,4257.051,WAIT_AUTO_DISARM_FALLBACK,TRANSITION,
1000680221920,7799.573,WAIT_AUTO_DISARM_FALLBACK,ARMING_STATE,1
1000687288128,7806.639,FAILED,TRANSITION,PX4 AUTO_DISARM_LAND confirmed
1000687736960,7807.088,FAILED,HEARTBEAT_SUMMARY,publishes=43 max_gap_ms=128.990 over_150ms=0 over_250ms=0 over_500ms=0
