monotonic_ns,elapsed_ms,state,event,detail
715104951328,499.628,PRECHECK,START,artifact=V4 mode=ground-sequence test_id=P450_20260826_OUTDOOR_V5_GROUND_D
715107112672,501.790,PRECHECK,HEADING_GOOD_DIAGNOSTIC,value=0
715393427680,788.105,PRECHECK,OFFBOARD_CONTROL_DIAGNOSTIC,enabled=0
715395094656,789.772,PRECHECK,ARMING_STATE,1
715395255488,789.932,PRECHECK,NAV_STATE,4
715395341408,790.018,PRECHECK,GCS_CONNECTION_DIAGNOSTIC,raw_status_lost=0
715395808992,790.486,PRECHECK,PREFLIGHT_REFUSED,failsafe flag manual_control_signal_lost=true
