sequence,monotonic_ns,elapsed_ms,publish_gap_ms,state,offboard_subscriptions,setpoint_subscriptions,command_subscriptions,arming_state,nav_state,offboard_enabled,failsafe,raw_gcs_lost,active_gcs_lost,heading_good,xy_reset_counter,z_reset_counter,heading_reset_counter,x,y,z,vx,vy,vz
1,1426536586976,1047.763,,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,12,3,-87.2586,5.1845,7.1748,0.0154,0.0195,0.0192
2,1426641738496,1152.914,105.152,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,12,3,-87.2579,5.1860,7.1772,0.0144,0.0205,0.0203
3,1426748711616,1259.887,106.973,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,12,3,-87.2575,5.1875,7.1790,0.0131,0.0216,0.0204
4,1426838102688,1349.278,89.391,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,12,3,-87.2573,5.1873,7.1812,0.0121,0.0202,0.0204
5,1426941038240,1452.214,102.936,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,12,3,-87.2570,5.1868,7.1833,0.0116,0.0188,0.0209
6,1427038347392,1549.523,97.309,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,12,3,-87.2564,5.1858,7.1860,0.0101,0.0172,0.0216
7,1427138260544,1649.436,99.913,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,12,3,-87.2557,5.1851,7.1889,0.0090,0.0163,0.0226
8,1427237478688,1748.654,99.218,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,12,3,-87.2545,5.1838,7.1922,0.0082,0.0147,0.0230
9,1427341259008,1852.435,103.780,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,12,3,-87.2532,5.1827,7.1953,0.0084,0.0138,0.0234
10,1427440536672,1951.712,99.278,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,12,3,-87.2540,5.1816,7.1981,0.0076,0.0126,0.0246
11,1427537264960,2048.441,96.728,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,12,3,-87.2552,5.1809,7.2009,0.0068,0.0116,0.0250
12,1427641455392,2152.631,104.190,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,12,3,-87.2570,5.1813,7.2035,0.0059,0.0112,0.0258
13,1427740213856,2251.390,98.758,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,12,3,-87.2585,5.1820,7.2059,0.0038,0.0108,0.0253
14,1427839956928,2351.133,99.743,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,12,3,-87.2591,5.1831,7.2087,0.0033,0.0108,0.0255
15,1427938063904,2449.240,98.107,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,12,3,-87.2593,5.1842,7.2124,0.0030,0.0108,0.0257
16,1428038761824,2549.938,100.698,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,12,3,-87.2589,5.1850,7.2158,0.0032,0.0106,0.0265
17,1428142192192,2653.368,103.430,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,12,3,-87.2580,5.1856,7.2193,0.0030,0.0094,0.0264
18,1428239596480,2750.772,97.404,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,12,3,-87.2562,5.1854,7.2214,0.0043,0.0086,0.0261
19,1428340103328,2851.279,100.507,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,12,3,-87.2542,5.1853,7.2236,0.0055,0.0076,0.0261
20,1428437263264,2948.439,97.160,STREAM_PREROLL,1,1,1,1,15,0,0,0,0,0,4,12,3,-87.2531,5.1880,7.2257,0.0060,0.0084,0.0257
