monotonic_ns,elapsed_ms,phase,event,detail
2782322150477,15.124,PRECHECK,START,test_id=P450_20260820_INDOOR_DISARMED_SOAK_PREFLIGHT_A duration=900.0 rate=10.0
2782539343889,232.318,PRECHECK,PREFLIGHT_PASS,"start=(-9.575298463460058e-05, 0.0003233669849578291, -1.0267727375030518, 2.4967877864837646) heading_good=0 xy_valid=0 z_valid=1"
2782539596445,232.570,COMPLETE,PREFLIGHT_ONLY_PASS,publishes=0 commands=0
2782539759631,232.733,COMPLETE,SUMMARY,publishes=0 max_gap_ms=0.000 over_150ms=0 over_250ms=0 over_500ms=0 over_1000ms=0
